tweet_id,handle,retweet_count,text,mined_at,created_at
964527582908596239,OnePlus India,73,RT @T3Indiamag: OnePlus 5T wins Flagship Smartphone of the Year award! Congrats @OnePlus_IN #ITIAwards2018 https://t.co/9RwCBpR8SI https://…,2018-02-16 22:23:18.270856,Fri Feb 16 15:51:10 +0000 2018
964122746987864069,OnePlus India,377,Missed out on the Lava Red? Here's your last chance to WIN it. Head to https://t.co/ulhi5WHkfU and hit that follow… https://t.co/Sj5iQibh09,2018-02-16 22:23:18.270864,Thu Feb 15 13:02:30 +0000 2018
963764987876356096,OnePlus India,251,"Let us be your valentine &amp; gift you that OnePlus 5T 🎁 

All you gotta do is head to https://t.co/ulhi5WHkfU and hit… https://t.co/4dqziHzdvj",2018-02-16 22:23:18.270865,Wed Feb 14 13:20:53 +0000 2018
963343262562975744,OnePlus India,82,"We here at OnePlus, love to surprise our community with gifts  🎉

So we selected 60 people who registered their dev… https://t.co/Ai248v218P",2018-02-16 22:23:18.270866,Tue Feb 13 09:25:06 +0000 2018
963024113806721024,OnePlus India,427,"Don't be a fool. Be a Valentine and gift a OnePlus to your plus one.

Win the OnePlus 5T for your plus one this Val… https://t.co/AeYKLlh8Qz",2018-02-16 22:23:18.270868,Mon Feb 12 12:16:55 +0000 2018
962726017939865600,OnePlus India,112,"Pure Serenity | #ShotonOnePlus by the_aar_dee
Follow OnePlus India on Instagram 👉 https://t.co/ulhi5WHkfU and share… https://t.co/ytw5VpME2n",2018-02-16 22:23:18.270869,Sun Feb 11 16:32:23 +0000 2018
962322976489185282,OnePlus India,93,The official #OnePlus5T Android Oreo release is out! See the full list of goodies in the forums.… https://t.co/lyBpb6iR90,2018-02-16 22:23:18.270870,Sat Feb 10 13:50:51 +0000 2018
961880764026531841,OnePlus India,79,Step in to the OnePlus Experience Store in Bangalore this weekend and feel the love with exciting offers like No Co… https://t.co/q4S72bdqn2,2018-02-16 22:23:18.270872,Fri Feb 09 08:33:39 +0000 2018
961599333442322433,OnePlus India,65,Make that special someone feel loved this Valentine's ❤️  Head to https://t.co/fuc5gEcmy7 and get ₹1500 Cashback fr… https://t.co/Cb9Tia1XGA,2018-02-16 22:23:18.270873,Thu Feb 08 13:55:21 +0000 2018
961253207434547200,OnePlus India,55,.@elonmusk's roadster got #ANewView. Have you got yours yet? #Spacex #FalconHeavy https://t.co/cdSYPUxIgM,2018-02-16 22:23:18.270874,Wed Feb 07 14:59:58 +0000 2018
961163496602853376,OnePlus India,70,"Spread the love this Valentine's Day and gift a OnePlus to your plus one ❤️

Get your hands on a new OnePlus 5T wit… https://t.co/H32v5ANbAU",2018-02-16 22:23:18.270876,Wed Feb 07 09:03:29 +0000 2018
960879600086798337,OnePlus India,46,The Ghost Mountains rising through the fog | #ShotonOnePlus by Aman Alam (https://t.co/JtdogjomdA) from… https://t.co/1tIK4wKYo6,2018-02-16 22:23:18.270877,Tue Feb 06 14:15:23 +0000 2018
960523583633080320,OnePlus India,57,Duplicate your apps! We show you how to make the best of Parallel Apps on the #OnePlus5T. https://t.co/g53vpVkmeY,2018-02-16 22:23:18.270878,Mon Feb 05 14:40:42 +0000 2018
959813842560679936,OnePlus India,39,Just one day in the scenic campus that is @iitg and we can't seem to get enough. #ShotonOnePlusAcademy at… https://t.co/sEPapjGZUQ,2018-02-16 22:23:18.270879,Sat Feb 03 15:40:27 +0000 2018
959713891713302528,OnePlus India,78,Congratulations Team India on winning the #U19CWC and becoming the most successful team of all time. And cheers to… https://t.co/5oCpMSFuxP,2018-02-16 22:23:18.270881,Sat Feb 03 09:03:17 +0000 2018
959428661966397440,OnePlus India,28,Day 1 of @alcheringaiitg is coming to and end and IIT Guwahati is bustling with excitement. We're going to kick off… https://t.co/lQ4EI7G13J,2018-02-16 22:23:18.270882,Fri Feb 02 14:09:52 +0000 2018
959373273426313217,OnePlus India,21,Just 2 hours to go for the @TEDx Bangalore Salon talk with Ankita Kumar. Join us at the Bangalore Experience Store… https://t.co/5jxHEPacuj,2018-02-16 22:23:18.270883,Fri Feb 02 10:29:47 +0000 2018
959320709485936640,OnePlus India,24,"This time, #OnePlusCampusTour decided to take the scenic route to @iitguwahati. We're here at their annual cultural… https://t.co/ScMOtoiUSA",2018-02-16 22:23:18.270885,Fri Feb 02 07:00:55 +0000 2018
959070315165900801,OnePlus India,61,Taking the term Bang for your buck to the next level! Introducing the OnePlus Buyback Program. Learn more about it… https://t.co/3OmO5BGMyW,2018-02-16 22:23:18.270886,Thu Feb 01 14:25:56 +0000 2018
