tweet_id,handle,retweet_count,text,mined_at,created_at
964512164865363968,Donald J. Trump,7223,Cannot believe how BADLY DACA recipients have been treated by the Democrats...totally abandoned! Republicans are still working hard.,2018-02-16 21:58:32.316132,Fri Feb 16 14:49:54 +0000 2018
964509154357411840,Donald J. Trump,7473,I will be leaving for Florida today to meet with some of the bravest people on earth - but people whose lives have… https://t.co/1APUFLwj1f,2018-02-16 21:58:32.316139,Fri Feb 16 14:37:56 +0000 2018
964232645495459840,Donald J. Trump,10559,"Presidential Proclamation Honoring the Victims of the Tragedy in Parkland, Florida: https://t.co/RTQWAKiSnR https://t.co/Nhs32bm5zB",2018-02-16 21:58:32.316141,Thu Feb 15 20:19:11 +0000 2018
964219299211735040,Donald J. Trump,11998,"...lottery, continues deadly catch-and-release, and bars enforcement even for FUTURE illegal immigrants. Voting for… https://t.co/ruP4vp9vxa",2018-02-16 21:58:32.316143,Thu Feb 15 19:26:09 +0000 2018
964219102683377665,Donald J. Trump,16487,The Schumer-Rounds-Collins immigration bill would be a total catastrophe. @DHSgov says it would be “the end of immi… https://t.co/FegRjpmNZj,2018-02-16 21:58:32.316144,Thu Feb 15 19:25:23 +0000 2018
964218319783055360,Donald J. Trump,6334,"RT @SpoxDHS: Schumer-Rounds-Collins destroys the ability of @DHSgov to enforce immigration laws, creating a mass amnesty for over 10 millio…",2018-02-16 21:58:32.316146,Thu Feb 15 19:22:16 +0000 2018
964190995687591936,Donald J. Trump,17064,"In times of tragedy, the bonds that sustain us are those of family, faith, community, and country. These bonds are… https://t.co/LraxXxUN3D",2018-02-16 21:58:32.316147,Thu Feb 15 17:33:41 +0000 2018
964151653669711872,Donald J. Trump,18462,"While the Republicans and Democrats in Congress are working hard to come up with a solution to DACA, they should be… https://t.co/qti7gQGh0I",2018-02-16 21:58:32.316149,Thu Feb 15 14:57:21 +0000 2018
964110212885106689,Donald J. Trump,18645,"So many signs that the Florida shooter was mentally disturbed, even expelled from school for bad and erratic behavi… https://t.co/3mSYrtTng6",2018-02-16 21:58:32.316150,Thu Feb 15 12:12:41 +0000 2018
963879275324760070,Donald J. Trump,18881,Just spoke to Governor Rick Scott. We are working closely with law enforcement on the terrible Florida school shooting.,2018-02-16 21:58:32.316152,Wed Feb 14 20:55:01 +0000 2018
963878055969198080,Donald J. Trump,38462,"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or an… https://t.co/RFJxgM1jhm",2018-02-16 21:58:32.316153,Wed Feb 14 20:50:11 +0000 2018
963853233000275969,Donald J. Trump,10640,"Today, I was honored to be joined by Republicans and Democrats from both the House and Senate, as well as members o… https://t.co/38kUIIV8Cp",2018-02-16 21:58:32.316155,Wed Feb 14 19:11:32 +0000 2018
963839056533626880,Donald J. Trump,14285,"As we come together to celebrate the extraordinary contributions of African-Americans to our nation, our thoughts t… https://t.co/SwAJxO88zC",2018-02-16 21:58:32.316156,Wed Feb 14 18:15:12 +0000 2018
963365328716812288,Donald J. Trump,22182,Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn… https://t.co/YW4mCpHr0R,2018-02-16 21:58:32.316158,Tue Feb 13 10:52:47 +0000 2018
963362959463469058,Donald J. Trump,22482,"Our infrastructure plan has been put forward and has received great reviews by everyone except, of course, the Demo… https://t.co/2EfB9sObdN",2018-02-16 21:58:32.316159,Tue Feb 13 10:43:22 +0000 2018
963152799486828544,Donald J. Trump,14037,The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I l… https://t.co/DSz3Szp4xE,2018-02-16 21:58:32.316161,Mon Feb 12 20:48:16 +0000 2018
963033580107653120,Donald J. Trump,16643,"Thank you to Sue Kruczek, who lost her wonderful and talented son Nick to the Opioid scourge, for your kind words w… https://t.co/0kIdepXBdi",2018-02-16 21:58:32.316162,Mon Feb 12 12:54:32 +0000 2018
963031666150313984,Donald J. Trump,30176,"This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East, it is now ti… https://t.co/OcX7UN18Er",2018-02-16 21:58:32.316164,Mon Feb 12 12:46:56 +0000 2018
962787355932360706,Donald J. Trump,14767,Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police o… https://t.co/X7AhuEYwHI,2018-02-16 21:58:32.316169,Sun Feb 11 20:36:08 +0000 2018
962784821389996033,Donald J. Trump,23814,"Rep. Lou Barletta, a Great Republican from Pennsylvania who was one of my very earliest supporters, will make a FAN… https://t.co/dA2lK3WHFU",2018-02-16 21:58:32.316171,Sun Feb 11 20:26:03 +0000 2018
